Business,City,Niche,Rating,Total Reviews,Opportunity Score,Priority,Outreach Suggested,Complaint Signals,Social Link,GMB Link
"Webb & Lin Orthodontics","Charlotte","Dental",4.831410631127297,28,35,"🟡 MEDIUM","Yes — recommended for thoughtful outreach","1 recent review(s) mentioning communication/follow-up |   ↳ Internal note only: feedback pattern identified | 12 nearby competitors — retention is key","https://www.instagram.com/webblinortho/","https://maps.app.goo.gl/9pX7W7Z7fX7W7Z7fk"
"Graper Cosmetic Surgery","Charlotte","Med Spa",4.406809468052264,61,30,"⚪ LOW","Monitor for now","1 recent review(s) mentioning communication/follow-up |   ↳ Internal note only: feedback pattern identified","https://www.instagram.com/grapercosmeticsurgery/","https://maps.app.goo.gl/5rX3W3Z3fX3W3Z3fM"
"Westlake Smile Design","Austin","Dental",4.083819916689837,106,30,"⚪ LOW","Monitor for now","1 recent review(s) mentioning communication/follow-up |   ↳ Internal note only: feedback pattern identified","https://www.instagram.com/westlakesmiledesign/","https://maps.app.goo.gl/2iX0W0Z0fX0W0Z0fd"
"Aesthetica MedSpa","Austin","Med Spa",4.146878109663711,20,25,"⚪ LOW","Monitor for now","Low review reply rate (23%) — opportunity to engage with reviewers | Fewer reviews recently — may indicate declining repeat visits | 16 nearby competitors — retention is key","https://www.instagram.com/aestheticamedspa/","https://maps.app.goo.gl/9lX7W9Z7fX7W9Z7fG"
"Sky Orthodontics","Charlotte","Dental",4.097912589662511,27,25,"⚪ LOW","Monitor for now","Low review reply rate (7%) — opportunity to engage with reviewers | Fewer reviews recently — may indicate declining repeat visits | 11 nearby competitors — retention is key","https://www.instagram.com/skyorthodontics/","https://maps.app.goo.gl/2sX0W0Z0fX0W0Z0fn"
"Beaux Medspa","Austin","Med Spa",4.818931613402178,51,20,"⚪ LOW","Monitor for now","Low review reply rate (26%) — opportunity to engage with reviewers | Fewer reviews recently — may indicate declining repeat visits","https://www.instagram.com/beauxmedspa/","https://maps.app.goo.gl/0mX8W9Z8fX8W9Z8fH"
"Walden Dental","Austin","Dental",4.997401821763244,28,20,"⚪ LOW","Monitor for now","Low review reply rate (27%) — opportunity to engage with reviewers | Fewer reviews recently — may indicate declining repeat visits","https://www.instagram.com/waldendental/","https://maps.app.goo.gl/0gX8W8Z8fX8W8Z8fb"
"Bubbly Paws","Charlotte","Pet Grooming",4.3601325209408595,113,20,"⚪ LOW","Monitor for now","Low review reply rate (13%) — opportunity to engage with reviewers | Fewer reviews recently — may indicate declining repeat visits","https://www.instagram.com/bubblypaws/","https://maps.app.goo.gl/0aX8W8Z8fX8W8Z8fv"
"Personique On The Spot","Austin","Med Spa",4.7936762568116915,96,15,"⚪ LOW","Monitor for now","Fewer reviews recently — may indicate declining repeat visits | 13 nearby competitors — retention is key","https://www.instagram.com/personique/","https://maps.app.goo.gl/1nX9W9Z9fX9W9Z9fI"
"Evolve Medical Associates","Charlotte","Med Spa",4.312259123538615,52,15,"⚪ LOW","Monitor for now","Low review reply rate (19%) — opportunity to engage with reviewers | 16 nearby competitors — retention is key","https://www.instagram.com/evolvemedicalassociates/","https://maps.app.goo.gl/7tX5W5Z5fX5W5Z5fO"
"Revitalize Medical Spa","Charlotte","Med Spa",4.154187914113219,119,15,"⚪ LOW","Monitor for now","Low review reply rate (10%) — opportunity to engage with reviewers | 14 nearby competitors — retention is key","https://www.instagram.com/revitalizemedspa/","https://maps.app.goo.gl/1xX9W9Z9fX9W9Z9fS"
"Austin Orthodontic Arts","Austin","Dental",4.476517437258071,34,15,"⚪ LOW","Monitor for now","Low review reply rate (7%) — opportunity to engage with reviewers | 15 nearby competitors — retention is key","https://www.instagram.com/austinorthodonticarts/","https://maps.app.goo.gl/6cX4W4Z4fX4W4Z4fX"
"Luv Braces","Austin","Dental",4.679119339577642,44,15,"⚪ LOW","Monitor for now","Low review reply rate (15%) — opportunity to engage with reviewers | 16 nearby competitors — retention is key","https://www.instagram.com/luvbraces/","https://maps.app.goo.gl/7dX5W5Z5fX5W5Z5fY"
"Central Texas Orthodontics","Austin","Dental",4.395684708671505,119,15,"⚪ LOW","Monitor for now","Fewer reviews recently — may indicate declining repeat visits | 13 nearby competitors — retention is key","https://www.instagram.com/centraltexasortho/","https://maps.app.goo.gl/8eX6W6Z6fX6W6Z6fZ"
"Charlotte Dental Arts","Charlotte","Dental",4.7162123305981005,68,15,"⚪ LOW","Monitor for now","Low review reply rate (9%) — opportunity to engage with reviewers | 14 nearby competitors — retention is key","https://www.instagram.com/charlottedentalarts/","https://maps.app.goo.gl/5lX3W3Z3fX3W3Z3fg"
"South Charlotte Dentistry","Charlotte","Dental",4.4002125758307065,117,15,"⚪ LOW","Monitor for now","Low review reply rate (18%) — opportunity to engage with reviewers | 15 nearby competitors — retention is key","https://www.instagram.com/southcharlottedentistry/","https://maps.app.goo.gl/6mX4W4Z4fX4W4Z4fh"
"Charlotte Orthodontics","Charlotte","Dental",4.9793059290740596,32,15,"⚪ LOW","Monitor for now","Low review reply rate (12%) — opportunity to engage with reviewers | 12 nearby competitors — retention is key","https://www.instagram.com/charlotteorthodontics/","https://maps.app.goo.gl/8oX6W6Z6fX6W6Z6fj"
"Mud Puppies","Austin","Pet Grooming",4.5386345517316204,91,15,"⚪ LOW","Monitor for now","Low review reply rate (13%) — opportunity to engage with reviewers | 13 nearby competitors — retention is key","https://www.instagram.com/mudpuppiesatx/","https://maps.app.goo.gl/4uX2W2Z2fX2W2Z2fp"
"Paws on Chicon","Austin","Pet Grooming",4.921522628901574,35,15,"⚪ LOW","Monitor for now","Low review reply rate (19%) — opportunity to engage with reviewers | 17 nearby competitors — retention is key","https://www.instagram.com/pawsonchicon/","https://maps.app.goo.gl/6wX4W4Z4fX4W4Z4fr"
"Club Fetch","Charlotte","Pet Grooming",4.638263679335606,84,15,"⚪ LOW","Monitor for now","Low review reply rate (14%) — opportunity to engage with reviewers | 16 nearby competitors — retention is key","https://www.instagram.com/clubfetch/","https://maps.app.goo.gl/1bX9W9Z9fX9W9Z9fw"
"Wagging Tails","Charlotte","Pet Grooming",4.8580220153953935,53,15,"⚪ LOW","Monitor for now","Fewer reviews recently — may indicate declining repeat visits | 17 nearby competitors — retention is key","https://www.instagram.com/waggingtailsclt/","https://maps.app.goo.gl/2cX0W0Z0fX0W0Z0fx"
"Saluja Cosmetic and Laser Center","Charlotte","Med Spa",4.191746272467808,44,10,"⚪ LOW","Monitor for now","Low review reply rate (28%) — opportunity to engage with reviewers","https://www.instagram.com/salujacosmetic/","https://maps.app.goo.gl/9vX7W7Z7fX7W7Z7fQ"
"SkinSpirit Charlotte","Charlotte","Med Spa",4.1855207734620965,53,10,"⚪ LOW","Monitor for now","Low review reply rate (19%) — opportunity to engage with reviewers","https://www.instagram.com/skinspirit/","https://maps.app.goo.gl/2yX0W0Z0fX0W0Z0fT"
"Austin Dental Spa","Austin","Dental",4.782812028439099,97,10,"⚪ LOW","Monitor for now","Fewer reviews recently — may indicate declining repeat visits","https://www.instagram.com/austindentalspa/","https://maps.app.goo.gl/3zX1W1Z1fX1W1Z1fU"
"Viva Day Spa + Med Spa","Austin","Med Spa",4.972729306641349,113,5,"⚪ LOW","Monitor for now","10 nearby competitors — retention is key","https://www.instagram.com/vivadayspa/","https://maps.app.goo.gl/8kX6W9Z6fX6W9Z6fF"
"Dilworth Facial Plastic Surgery","Charlotte","Med Spa",4.82836515338045,45,5,"⚪ LOW","Monitor for now","12 nearby competitors — retention is key","https://www.instagram.com/dilworthfacialplasticsurgery/","https://maps.app.goo.gl/4qX2W2Z2fX2W2Z2fL"
"Criswell & Criswell","Charlotte","Med Spa",4.944153872379455,20,5,"⚪ LOW","Monitor for now","15 nearby competitors — retention is key","https://www.instagram.com/criswellandcriswell/","https://maps.app.goo.gl/8uX6W6Z6fX6W6Z6fP"
"H/K/B Cosmetic Surgery","Charlotte","Med Spa",4.5,120,0,"⚪ LOW","Monitor for now","","https://www.instagram.com/hkbcosmeticsurgery/","https://maps.app.goo.gl/3pX1W1Z1fX1W1Z1fK"
"Promenadescape Dentistry","Charlotte","Dental",4.838922424719227,58,0,"⚪ LOW","Monitor for now","","https://www.instagram.com/promenadescapedentistry/","https://maps.app.goo.gl/7nX5W5Z5fX5W5Z5fi"
"The Barker Lounge","Charlotte","Pet Grooming",4.951170070050998,66,0,"⚪ LOW","Monitor for now","","https://www.instagram.com/thebarkerlounge/","https://maps.app.goo.gl/8yX6W6Z6fX6W6Z6ft"
