business,city,niche,rating,reviews,has_booking,opportunity_score,priority,reason,signals,email,outreach,hurt_severity,pain_points
Baked on 8th,Nashville,Bakery,4,38,NO,85,🔵 HIGH,Average rating — opportunity to differentiate,Rating 4 — room for improvement | 38 reviews — moderate feedback | No online booking — automation opportunity,sweet@bakedon8th.com,Immediate DM + email,20,"NEEDS: Online booking system"
Nashville Power Yoga,Nashville,Yoga,4.1,45,NO,85,🔵 HIGH,Average rating — opportunity to differentiate,Rating 4.1 — room for improvement | 45 reviews — moderate feedback | No online booking — automation opportunity,flow@nashvillepoweryoga.com,Immediate DM + email,20,"NEEDS: Online booking system"
Aussie Pet Mobile Denver,Denver,Pet,4.1,35,NO,85,🔵 HIGH,Average rating — opportunity to differentiate,Rating 4.1 — room for improvement | 35 reviews — moderate feedback | No online booking — automation opportunity,hello@aussiepetmobiledenve.com,Immediate DM + email,20,"NEEDS: Online booking system"
Grateful Bread Bakery,Denver,Bakery,4.1,55,NO,85,🔵 HIGH,Average rating — opportunity to differentiate,Rating 4.1 — room for improvement | 55 reviews — moderate feedback | No online booking — automation opportunity,sweet@gratefulbreadbakery.com,Immediate DM + email,20,"NEEDS: Online booking system"
Woof Gang Bakery Charlotte,Charlotte,Pet,4.2,55,NO,85,🔵 HIGH,Average rating — opportunity to differentiate,Rating 4.2 — room for improvement | 55 reviews — moderate feedback | No online booking — automation opportunity,hello@woofgangbakerycharlo.com,Immediate DM + email,20,"NEEDS: Online booking system"
Queen City Grounds,Charlotte,Coffee,4.1,42,NO,85,🔵 HIGH,Average rating — opportunity to differentiate,Rating 4.1 — room for improvement | 42 reviews — moderate feedback | No online booking — automation opportunity,brew@queencitygrounds.com,Immediate DM + email,20,"NEEDS: Online booking system"
Studio 108 Yoga,Charlotte,Yoga,4.1,35,NO,85,🔵 HIGH,Average rating — opportunity to differentiate,Rating 4.1 — room for improvement | 35 reviews — moderate feedback | No online booking — automation opportunity,flow@studio108yoga.com,Immediate DM + email,20,"NEEDS: Online booking system"
Blue Lotus Yoga,Charlotte,Yoga,4.2,42,NO,85,🔵 HIGH,Average rating — opportunity to differentiate,Rating 4.2 — room for improvement | 42 reviews — moderate feedback | No online booking — automation opportunity,flow@bluelotusyoga.com,Immediate DM + email,20,"NEEDS: Online booking system"
Bark Avenue Scottsdale,Scottsdale,Pet,4.2,65,NO,75,🔵 HIGH,Average rating — opportunity to differentiate,Rating 4.2 — room for improvement | No online booking — automation opportunity,hello@barkavenuescottsdale.com,Immediate DM + email,20,"NEEDS: Online booking system"
Bongo Java,Nashville,Coffee,4.1,120,NO,75,🔵 HIGH,Average rating — opportunity to differentiate,Rating 4.1 — room for improvement | No online booking — automation opportunity,brew@bongojava.com,Immediate DM + email,20,"NEEDS: Online booking system"
Sift Bake Shop,Nashville,Bakery,4.3,52,NO,75,🔵 HIGH,No booking system — needs scheduling automation,52 reviews — moderate feedback | No online booking — automation opportunity,sweet@siftbakeshop.com,Immediate DM + email,20,"NEEDS: Online booking system"
Desserts By Helen,Denver,Bakery,4.3,42,NO,75,🔵 HIGH,No booking system — needs scheduling automation,42 reviews — moderate feedback | No online booking — automation opportunity,sweet@dessertsbyhelen.com,Immediate DM + email,20,"NEEDS: Online booking system"
Suarez Bakery,Charlotte,Bakery,4.4,42,NO,75,🔵 HIGH,No booking system — needs scheduling automation,42 reviews — moderate feedback | No online booking — automation opportunity,sweet@suarezbakery.com,Immediate DM + email,20,"NEEDS: Online booking system"
The Detail Shop Austin,Austin,Auto,4.2,45,YES,70,🔵 HIGH,Average rating — opportunity to differentiate,Rating 4.2 — room for improvement | 45 reviews — moderate feedback,info@thedetailshopaustin.com,Immediate DM + email,0,""
Dharma Yoga Austin,Austin,Yoga,4.2,55,YES,70,🔵 HIGH,Average rating — opportunity to differentiate,Rating 4.2 — room for improvement | 55 reviews — moderate feedback,flow@dharmayogaaustin.com,Immediate DM + email,0,""
The Detail Shop Nashville,Nashville,Auto,4.1,42,YES,70,🔵 HIGH,Average rating — opportunity to differentiate,Rating 4.1 — room for improvement | 42 reviews — moderate feedback,info@thedetailshopnashvil.com,Immediate DM + email,0,""
The Detailing Company,Denver,Auto,4.2,38,YES,70,🔵 HIGH,Average rating — opportunity to differentiate,Rating 4.2 — room for improvement | 38 reviews — moderate feedback,info@thedetailingcompany.com,Immediate DM + email,0,""
The Detail Shop Charlotte,Charlotte,Auto,4.2,35,YES,70,🔵 HIGH,Average rating — opportunity to differentiate,Rating 4.2 — room for improvement | 35 reviews — moderate feedback,info@thedetailshopcharlot.com,Immediate DM + email,0,""
