id,email,business_type,detected_niche,clean_name,email_valid,created_at
mass-1780586161989-66642,owner@glamourcorner-phoenix.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:16:02
mass-1780586161989-66646,hello@purestudio-nagoya.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:16:02
mass-1780586161989-66649,contact@serenitytreats-vancouver.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:16:02
mass-1780586127255-66550,contact@artisancorner-glasgow.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:15:31
mass-1780586127255-66552,hello@radiantwellness-glasgow.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:15:31
mass-1780586127255-66553,owner@sharpspot-dallas.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:15:31
mass-1780586127255-66555,contact@elitewellness-phoenix.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:15:31
mass-1780586127255-66557,hello@urbanparlor-birmingham.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:15:31
mass-1780586127255-66559,contact@moderncorner-adelaide.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:15:31
mass-1780586127255-66560,contact@radiantclinic-melbourne.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:15:31
mass-1780586127255-66561,info@artisantreats-perth.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:15:31
mass-1780586127255-66563,hello@luxeboutique-liverpool.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:15:31
mass-1780586127255-66564,contact@modernbeautybar-phoenix.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:15:31
mass-1780586127255-66566,contact@artisancorner-tokyo.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:15:31
mass-1780586127255-66567,hello@classicspot-glasgow.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:15:31
mass-1780586127255-66568,owner@purestudio-austin.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:15:31
mass-1780586127255-66569,info@serenitycorner-dallas.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:15:31
mass-1780586127255-66570,contact@elitekitchen-austin.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:15:31
mass-1780586127255-66571,owner@modernhub-sydney.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:15:31
mass-1780586127255-66572,info@goldenhub-adelaide.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:15:31
mass-1780586127256-66573,info@sweetclinic-dallas.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:15:31
mass-1780586127256-66574,contact@purestylists-losangeles.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:15:31
mass-1780586127256-66575,contact@classicboutique-ottawa.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:15:31
mass-1780586127256-66577,info@eliteplace-manchester.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:15:31
mass-1780586127256-66579,info@serenitystudio-toronto.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:15:31
mass-1780586127256-66580,info@purecorner-glasgow.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:15:31
mass-1780586127256-66582,contact@glamourparlor-sanantonio.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:15:31
mass-1780586127256-66583,info@modernstudio-phoenix.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:15:31
mass-1780586127256-66585,hello@divinespot-phoenix.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:15:31
mass-1780586127257-66588,hello@divinetreats-sanantonio.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:15:31
mass-1780586127257-66589,contact@glamourplace-losangeles.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:15:31
mass-1780586127257-66590,hello@divineclinic-toronto.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:15:31
mass-1780586127257-66591,hello@radiantkitchen-losangeles.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:15:31
mass-1780586127257-66593,contact@luxekitchen-manchester.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:15:31
mass-1780586127257-66594,hello@sweetstudio-phoenix.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:15:31
mass-1780586127257-66596,owner@goldenparlor-chicago.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:15:31
mass-1780586127257-66597,hello@sharpbakeshop-calgary.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:15:31
mass-1780586127257-66599,owner@purestylists-toronto.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:15:31
mass-1780586097857-66500,contact@glamourspot-liverpool.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:14:58
mass-1780586097857-66501,info@glamourboutique-london.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:14:58
mass-1780586097857-66502,info@modernstylists-london.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:14:58
mass-1780586097857-66503,owner@artisanstudio-dallas.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:14:58
mass-1780586097857-66504,contact@classicclinic-houston.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:14:58
mass-1780586097857-66507,owner@goldentreats-ottawa.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:14:58
mass-1780586097857-66510,owner@urbantreats-calgary.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:14:58
mass-1780586097857-66511,owner@glamourstylists-losangeles.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:14:58
mass-1780586097857-66513,hello@pureparlor-manchester.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:14:58
mass-1780586097857-66514,info@luxeclinic-sapporo.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:14:58
mass-1780586097857-66516,contact@urbanbakeshop-london.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:14:58
mass-1780586097857-66517,hello@goldenspot-sapporo.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:14:58
mass-1780586097857-66519,contact@pureplace-fukuoka.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:14:58
mass-1780586097857-66521,hello@serenityclinic-austin.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:14:58
mass-1780586097857-66522,owner@elitebeautybar-newyorkcity.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:14:58
mass-1780586097857-66523,hello@sweetboutique-losangeles.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:14:58
mass-1780586097857-66524,owner@sharpbeautybar-sanantonio.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:14:58
mass-1780586097857-66525,info@goldenbeautybar-calgary.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:14:58
mass-1780586097857-66526,hello@rustickitchen-newyorkcity.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:14:58
mass-1780586097857-66528,hello@goldenparlor-manchester.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:14:58
mass-1780586097857-66531,owner@urbanparlor-manchester.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:14:58
mass-1780586097857-66533,contact@rusticplace-houston.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:14:58
mass-1780586097857-66534,contact@glamourbakeshop-sydney.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:14:58
mass-1780586097857-66535,contact@artisanspot-vancouver.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:14:58
mass-1780586097857-66536,info@classicbeautybar-phoenix.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:14:58
mass-1780586097857-66537,info@urbantreats-london.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:14:58
mass-1780586097857-66538,info@luxecorner-fukuoka.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:14:58
mass-1780586097857-66539,contact@purespot-vancouver.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:14:58
mass-1780586097857-66543,info@classicboutique-montreal.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:14:58
mass-1780586097857-66544,contact@classicwellness-london.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:14:58
mass-1780586097857-66545,owner@divinecorner-sandiego.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:14:58
mass-1780586097857-66546,hello@divinespot-fukuoka.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:14:58
mass-1780586097857-66548,hello@luxeparlor-newyorkcity.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:14:58
mass-1780586097857-66549,hello@modernbeautybar-austin.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:14:58
mass-1780586061505-66450,owner@sweetstylists-tokyo.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:14:21
mass-1780586061505-66451,hello@artisanparlor-osaka.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:14:21
mass-1780586061505-66452,hello@divinestylists-sandiego.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:14:21
mass-1780586061505-66454,hello@classiccorner-newyorkcity.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:14:21
mass-1780586061505-66455,owner@purespot-sydney.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:14:21
mass-1780586061505-66456,hello@sweetplace-glasgow.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:14:21
mass-1780586061505-66458,owner@artisanbeautybar-fukuoka.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:14:21
mass-1780586061505-66459,owner@divinehub-nagoya.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:14:21
mass-1780586061505-66461,contact@eliteboutique-philadelphia.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:14:21
mass-1780586061505-66464,info@modernplace-chicago.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:14:21
mass-1780586061505-66465,info@glamourbakeshop-sanantonio.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:14:21
mass-1780586061505-66466,info@luxebeautybar-liverpool.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:14:21
mass-1780586061505-66468,contact@artisanhub-sandiego.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:14:21
mass-1780586061505-66469,hello@divinekitchen-vancouver.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:14:21
mass-1780586061505-66470,hello@classicbakeshop-phoenix.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:14:21
mass-1780586061505-66473,hello@sweetclinic-birmingham.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:14:21
mass-1780586061505-66476,hello@luxespot-manchester.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:14:21
mass-1780586061505-66480,hello@purekitchen-sanantonio.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:14:21
mass-1780586061505-66481,info@glamourwellness-london.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:14:21
mass-1780586061505-66482,owner@elitebeautybar-calgary.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:14:21
mass-1780586061505-66483,info@artisantreats-sanantonio.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:14:21
mass-1780586061505-66484,owner@artisanboutique-sanantonio.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:14:21
mass-1780586061505-66485,info@urbanclinic-sanantonio.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:14:21
mass-1780586061505-66486,contact@moderncollective-philadelphia.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:14:21
mass-1780586061505-66487,contact@sharpcorner-philadelphia.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:14:21
mass-1780586061505-66488,hello@serenitybeautybar-phoenix.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:14:21
mass-1780586061505-66492,hello@modernboutique-brisbane.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:14:21
mass-1780586061505-66494,contact@sweetparlor-newyorkcity.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:14:21
mass-1780586061505-66495,owner@glamourstylists-sapporo.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:14:21
mass-1780586061505-66496,info@sharptreats-birmingham.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:14:21
mass-1780586061505-66498,owner@sweetcollective-philadelphia.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:14:21
mass-1780586038297-66400,owner@glamourkitchen-calgary.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:13:58
mass-1780586038297-66403,info@sharphub-newyorkcity.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:13:58
mass-1780586038297-66404,hello@radiantstylists-tokyo.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:13:58
mass-1780586038297-66405,owner@urbanplace-toronto.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:13:58
mass-1780586038297-66407,contact@rusticbeautybar-sapporo.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:13:58
mass-1780586038297-66408,info@urbanstylists-glasgow.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:13:58
mass-1780586038297-66410,owner@sharpkitchen-sandiego.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:13:58
mass-1780586038297-66411,owner@glamourwellness-toronto.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:13:58
mass-1780586038297-66415,hello@sharpclinic-toronto.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:13:58
mass-1780586038297-66417,info@urbanspot-calgary.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:13:58
mass-1780586038297-66418,info@classicwellness-phoenix.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:13:58
mass-1780586038297-66419,contact@rusticbakeshop-austin.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:13:58
mass-1780586038297-66420,hello@purecollective-london.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:13:58
mass-1780586038297-66421,hello@luxeclinic-sydney.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:13:58
mass-1780586038297-66426,owner@elitewellness-sapporo.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:13:58
mass-1780586038297-66429,info@divineclinic-glasgow.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:13:58
mass-1780586038297-66431,info@pureclinic-tokyo.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:13:58
mass-1780586038297-66432,owner@purekitchen-perth.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:13:58
mass-1780586038297-66433,hello@modernkitchen-perth.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:13:58
mass-1780586038297-66434,contact@modernwellness-philadelphia.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:13:58
mass-1780586038297-66437,hello@urbanstudio-phoenix.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:13:58
mass-1780586038297-66438,contact@goldenstylists-dallas.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:13:58
mass-1780586038297-66439,hello@divinebakeshop-sandiego.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:13:58
mass-1780586038297-66440,contact@classiccollective-sandiego.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:13:58
mass-1780586038297-66442,contact@sharpbakeshop-liverpool.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:13:58
mass-1780586038297-66443,hello@urbantreats-nagoya.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:13:58
mass-1780586038297-66444,contact@rustichub-montreal.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:13:58
mass-1780586038297-66445,owner@serenitycollective-perth.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:13:58
mass-1780586038297-66446,hello@puretreats-perth.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:13:58
mass-1780586038297-66447,contact@sweetbakeshop-philadelphia.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:13:58
mass-1780586009791-66351,contact@artisanstylists-austin.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:13:30
mass-1780586009791-66352,hello@serenitystylists-calgary.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:13:30
mass-1780586009791-66354,contact@pureplace-manchester.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:13:30
mass-1780586009791-66356,info@glamourbakeshop-sydney.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:13:30
mass-1780586009791-66357,info@radiantbakeshop-montreal.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:13:30
mass-1780586009791-66358,hello@classicclinic-philadelphia.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:13:30
mass-1780586009791-66359,contact@radiantkitchen-birmingham.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:13:30
mass-1780586009791-66361,owner@artisanbeautybar-ottawa.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:13:30
mass-1780586009791-66363,info@goldenclinic-birmingham.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:13:30
mass-1780586009791-66364,hello@artisanhub-calgary.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:13:30
mass-1780586009791-66365,hello@divinetreats-nagoya.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:13:30
mass-1780586009791-66366,hello@pureboutique-chicago.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:13:30
mass-1780586009791-66368,owner@sharpwellness-adelaide.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:13:30
mass-1780586009791-66370,contact@artisanhub-tokyo.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:13:30
mass-1780586009791-66372,hello@sharpstudio-sanantonio.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:13:30
mass-1780586009791-66374,hello@sweetcollective-philadelphia.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:13:30
mass-1780586009791-66375,hello@modernbeautybar-liverpool.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:13:30
mass-1780586009791-66377,info@goldencorner-sanantonio.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:13:30
mass-1780586009791-66382,contact@sharptreats-newyorkcity.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:13:30
mass-1780586009791-66383,hello@modernbeautybar-newyorkcity.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:13:30
mass-1780586009791-66385,info@sweetparlor-losangeles.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:13:30
mass-1780586009791-66388,contact@sharphub-london.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:13:30
mass-1780586009791-66389,contact@classicwellness-vancouver.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:13:30
mass-1780586009791-66390,contact@sharptreats-vancouver.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:13:30
mass-1780586009791-66391,hello@sweetboutique-osaka.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:13:30
mass-1780586009791-66394,info@modernboutique-osaka.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:13:30
mass-1780586009791-66395,info@luxeboutique-sydney.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:13:30
mass-1780586009791-66396,info@artisanhub-losangeles.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:13:30
mass-1780586009791-66397,contact@serenitystudio-newyorkcity.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:13:30
mass-1780586009791-66398,contact@sharpspot-sanantonio.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:13:30
mass-1780585969440-66300,hello@glamourspot-liverpool.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:12:49
mass-1780585969440-66301,info@serenitytreats-philadelphia.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:12:49
mass-1780585969440-66302,owner@goldenwellness-sydney.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:12:49
mass-1780585969440-66308,hello@sweetstylists-perth.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:12:49
mass-1780585969440-66309,info@classicspot-philadelphia.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:12:49
mass-1780585969440-66310,contact@rustickitchen-philadelphia.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:12:49
mass-1780585969440-66311,info@divinebeautybar-glasgow.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:12:49
mass-1780585969440-66312,info@sharpkitchen-houston.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:12:49
mass-1780585969440-66313,info@artisancorner-sydney.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:12:49
mass-1780585969440-66315,hello@artisanbakeshop-ottawa.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:12:49
mass-1780585969440-66316,owner@sweetclinic-houston.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:12:49
mass-1780585969440-66320,owner@divineplace-birmingham.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:12:49
mass-1780585969440-66321,owner@glamourbakeshop-tokyo.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:12:49
mass-1780585969440-66322,info@sweetstylists-birmingham.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:12:49
mass-1780585969440-66323,contact@serenitystylists-nagoya.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:12:49
mass-1780585969440-66325,hello@sharpboutique-philadelphia.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:12:49
mass-1780585969440-66326,owner@urbancollective-sanantonio.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:12:49
mass-1780585969440-66328,hello@elitecollective-sapporo.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:12:49
mass-1780585969440-66331,contact@rusticcollective-toronto.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:12:49
mass-1780585969440-66332,hello@classicbakeshop-fukuoka.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:12:49
mass-1780585969440-66333,hello@goldentreats-sandiego.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:12:49
mass-1780585969440-66334,owner@glamourstylists-chicago.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:12:49
mass-1780585969440-66335,contact@luxewellness-chicago.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:12:49
mass-1780585969440-66336,hello@luxebeautybar-houston.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:12:49
mass-1780585969440-66337,info@luxebakeshop-fukuoka.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:12:49
mass-1780585969440-66340,hello@urbanwellness-melbourne.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:12:49
mass-1780585969440-66341,info@classicclinic-phoenix.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:12:49
mass-1780585969440-66342,contact@sharpboutique-losangeles.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:12:49
mass-1780585969440-66343,info@divinecollective-melbourne.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:12:49
mass-1780585969440-66344,owner@sweetcorner-london.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:12:49
mass-1780585969440-66345,info@pureplace-vancouver.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:12:49
mass-1780585969440-66346,hello@elitetreats-sapporo.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:12:49
mass-1780585969440-66348,contact@classicstudio-ottawa.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:12:49
mass-1780585969440-66349,contact@glamourparlor-manchester.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:12:49
mass-1780585932994-66250,hello@luxebakeshop-sanantonio.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:12:13
mass-1780585932994-66252,hello@radiantboutique-perth.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:12:13
mass-1780585932994-66253,hello@urbancorner-sanantonio.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:12:13
mass-1780585932994-66254,owner@modernhub-tokyo.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:12:13
mass-1780585932994-66256,contact@purespot-montreal.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:12:13
mass-1780585932994-66257,owner@radiantboutique-toronto.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:12:13
mass-1780585932994-66259,contact@elitehub-perth.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:12:13
mass-1780585932994-66262,info@classicspot-liverpool.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:12:13
mass-1780585932994-66263,contact@goldenboutique-austin.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:12:13
