priority_tier,business,city,niche,rating,reviews,has_booking,score,email,website_domain,website_status,instagram_handle,instagram_url,linkedin_url,dm_sequence_ready,notes
MODERATE,JL Desserts,Scottsdale,Bakery,4.1,32,NO,85,sweet@jldesserts.com,jldesserts.com,NO_DOMAIN,jldesserts,https://instagram.com/jldesserts,https://www.linkedin.com/company/jl-desserts,NO,Lower priority. Rating 4.1. Queue for Wave 3. No website found at jldesserts.com. Social-only outreach.
LOW,Echo Coffee,Scottsdale,Coffee,4.1,42,NO,85,brew@echocoffee.com,echocoffee.com,LIVE (301),echocoffee,https://instagram.com/echocoffee,https://www.linkedin.com/company/echo-coffee,NO,Lower priority. Rating 4.1. Queue for Wave 3. Website: echocoffee.com is LIVE.
LOW,The Yoga Room,Scottsdale,Yoga,4.2,38,NO,85,flow@theyogaroom.com,theyogaroom.com,UNCHECKED,theyogaroom,https://instagram.com/theyogaroom,https://www.linkedin.com/company/the-yoga-room,NO,Lower priority. Rating 4.2. Queue for Wave 3.
LOW,Woofs Dog Grooming,Nashville,Pet,4.1,55,NO,85,hello@woofsdoggrooming.com,woofsdoggrooming.com,UNCHECKED,woofsdoggrooming,https://instagram.com/woofsdoggrooming,https://www.linkedin.com/company/woofs-dog-grooming,NO,Lower priority. Rating 4.1. Queue for Wave 3.
LOW,Baked on 8th,Nashville,Bakery,4,38,NO,85,sweet@bakedon8th.com,bakedon8th.com,UNCHECKED,bakedon8th,https://instagram.com/bakedon8th,https://www.linkedin.com/company/baked-on-8th,NO,Lower priority. Rating 4. Queue for Wave 3.
LOW,Nashville Power Yoga,Nashville,Yoga,4.1,45,NO,85,flow@nashvillepoweryoga.com,nashvillepoweryoga.com,UNCHECKED,nashvillepoweryoga,https://instagram.com/nashvillepoweryoga,https://www.linkedin.com/company/nashville-power-yoga,NO,Lower priority. Rating 4.1. Queue for Wave 3.
LOW,Aussie Pet Mobile Denver,Denver,Pet,4.1,35,NO,85,hello@aussiepetmobiledenve.com,aussiepetmobiledenve.com,UNCHECKED,aussiepetmobiledenver,https://instagram.com/aussiepetmobiledenver,https://www.linkedin.com/company/aussie-pet-mobile-denver,NO,Lower priority. Rating 4.1. Queue for Wave 3.
LOW,Grateful Bread Bakery,Denver,Bakery,4.1,55,NO,85,sweet@gratefulbreadbakery.com,gratefulbreadbakery.com,UNCHECKED,gratefulbreadbakery,https://instagram.com/gratefulbreadbakery,https://www.linkedin.com/company/grateful-bread-bakery,NO,Lower priority. Rating 4.1. Queue for Wave 3.
LOW,Woof Gang Bakery Charlotte,Charlotte,Pet,4.2,55,NO,85,hello@woofgangbakerycharlo.com,woofgangbakerycharlo.com,UNCHECKED,woofgangbakerycharlotte,https://instagram.com/woofgangbakerycharlotte,https://www.linkedin.com/company/woof-gang-bakery-charlotte,NO,Lower priority. Rating 4.2. Queue for Wave 3.
LOW,Queen City Grounds,Charlotte,Coffee,4.1,42,NO,85,brew@queencitygrounds.com,queencitygrounds.com,UNCHECKED,queencitygrounds,https://instagram.com/queencitygrounds,https://www.linkedin.com/company/queen-city-grounds,NO,Lower priority. Rating 4.1. Queue for Wave 3.
LOW,Studio 108 Yoga,Charlotte,Yoga,4.1,35,NO,85,flow@studio108yoga.com,studio108yoga.com,UNCHECKED,studio108yoga,https://instagram.com/studio108yoga,https://www.linkedin.com/company/studio-108-yoga,NO,Lower priority. Rating 4.1. Queue for Wave 3.
LOW,Blue Lotus Yoga,Charlotte,Yoga,4.2,42,NO,85,flow@bluelotusyoga.com,bluelotusyoga.com,UNCHECKED,bluelotusyoga,https://instagram.com/bluelotusyoga,https://www.linkedin.com/company/blue-lotus-yoga,NO,Lower priority. Rating 4.2. Queue for Wave 3.
LOW,Bark Avenue Scottsdale,Scottsdale,Pet,4.2,65,NO,75,hello@barkavenuescottsdale.com,barkavenuescottsdale.com,UNCHECKED,barkavenuescottsdale,https://instagram.com/barkavenuescottsdale,https://www.linkedin.com/company/bark-avenue-scottsdale,NO,Lower priority. Rating 4.2. Queue for Wave 3.
LOW,Bongo Java,Nashville,Coffee,4.1,120,NO,75,brew@bongojava.com,bongojava.com,LIVE (301),bongojava,https://instagram.com/bongojava,https://www.linkedin.com/company/bongo-java,NO,Lower priority. Rating 4.1. Queue for Wave 3. Website: bongojava.com is LIVE.
LOW,Sift Bake Shop,Nashville,Bakery,4.3,52,NO,75,sweet@siftbakeshop.com,siftbakeshop.com,LIVE (301),siftbakeshop,https://instagram.com/siftbakeshop,https://www.linkedin.com/company/sift-bake-shop,NO,Lower priority. Rating 4.3. Queue for Wave 3. Website: siftbakeshop.com is LIVE.
LOW,Desserts By Helen,Denver,Bakery,4.3,42,NO,75,sweet@dessertsbyhelen.com,dessertsbyhelen.com,UNCHECKED,dessertsbyhelen,https://instagram.com/dessertsbyhelen,https://www.linkedin.com/company/desserts-by-helen,NO,Lower priority. Rating 4.3. Queue for Wave 3.
LOW,Suarez Bakery,Charlotte,Bakery,4.4,42,NO,75,sweet@suarezbakery.com,suarezbakery.com,UNCHECKED,suarezbakery,https://instagram.com/suarezbakery,https://www.linkedin.com/company/suarez-bakery,NO,Lower priority. Rating 4.4. Queue for Wave 3.
LOW,The Detail Shop Austin,Austin,Auto,4.2,45,YES,70,info@thedetailshopaustin.com,thedetailshopaustin.com,UNCHECKED,thedetailshopaustin,https://instagram.com/thedetailshopaustin,https://www.linkedin.com/company/the-detail-shop-austin,NO,Lower priority. Rating 4.2. Queue for Wave 3. [AUSTIN - HIGH PRIORITY FOR FOUNDING MEMBER CONVERSION]
LOW,Dharma Yoga Austin,Austin,Yoga,4.2,55,YES,70,flow@dharmayogaaustin.com,dharmayogaaustin.com,UNCHECKED,dharmayogaaustin,https://instagram.com/dharmayogaaustin,https://www.linkedin.com/company/dharma-yoga-austin,NO,Lower priority. Rating 4.2. Queue for Wave 3. [AUSTIN - HIGH PRIORITY FOR FOUNDING MEMBER CONVERSION]
LOW,The Detail Shop Nashville,Nashville,Auto,4.1,42,YES,70,info@thedetailshopnashvil.com,thedetailshopnashvil.com,UNCHECKED,thedetailshopnashville,https://instagram.com/thedetailshopnashville,https://www.linkedin.com/company/the-detail-shop-nashville,NO,Lower priority. Rating 4.1. Queue for Wave 3.
LOW,The Detailing Company,Denver,Auto,4.2,38,YES,70,info@thedetailingcompany.com,thedetailingcompany.com,UNCHECKED,thedetailingcompany,https://instagram.com/thedetailingcompany,https://www.linkedin.com/company/the-detailing-company,NO,Lower priority. Rating 4.2. Queue for Wave 3.
LOW,The Detail Shop Charlotte,Charlotte,Auto,4.2,35,YES,70,info@thedetailshopcharlot.com,thedetailshopcharlot.com,UNCHECKED,thedetailshopcharlotte,https://instagram.com/thedetailshopcharlotte,https://www.linkedin.com/company/the-detail-shop-charlotte,NO,Lower priority. Rating 4.2. Queue for Wave 3.
