name,city,niche,rating,reviews,has_booking,severity,pain_points,signals
"South Charlotte Dentistry","Charlotte","Dental",3.7,15,"NO",65,"SEVERE: Rating below 3.8 | MODERATE: Under 25 reviews | NEEDS: Online booking","Below average rating, Low review volume, No digital booking"
"Personique On The Spot","Austin","Med Spa",3.9,22,"NO",55,"MODERATE: Rating below 4.0 | MODERATE: Under 25 reviews | NEEDS: Online booking","Room for improvement, Low review volume, No digital booking"
"BridgeView Dental","Austin","Dental",3.8,18,"NO",55,"MODERATE: Rating below 4.0 | MODERATE: Under 25 reviews | NEEDS: Online booking","Room for improvement, Low review volume, No digital booking"
"Sonoran Skin Institute","Scottsdale","Med Spa",3.9,15,"NO",55,"MODERATE: Rating below 4.0 | MODERATE: Under 25 reviews | NEEDS: Online booking","Room for improvement, Low review volume, No digital booking"
"Green Hills Family Dental","Nashville","Dental",3.8,18,"NO",55,"MODERATE: Rating below 4.0 | MODERATE: Under 25 reviews | NEEDS: Online booking","Room for improvement, Low review volume, No digital booking"
"Denver Skin Studio","Denver","Med Spa",3.8,15,"NO",55,"MODERATE: Rating below 4.0 | MODERATE: Under 25 reviews | NEEDS: Online booking","Room for improvement, Low review volume, No digital booking"
"RiNo Smile Studio","Denver","Dental",3.9,20,"NO",55,"MODERATE: Rating below 4.0 | MODERATE: Under 25 reviews | NEEDS: Online booking","Room for improvement, Low review volume, No digital booking"
"Evolve Medical Associates","Charlotte","Med Spa",3.8,18,"NO",55,"MODERATE: Rating below 4.0 | MODERATE: Under 25 reviews | NEEDS: Online booking","Room for improvement, Low review volume, No digital booking"
"Austin Med Spa","Austin","Med Spa",3.8,47,"NO",40,"MODERATE: Rating below 4.0 | NEEDS: Online booking","Room for improvement, No digital booking"
"Paradise Valley Dentistry","Scottsdale","Dental",4,22,"NO",35,"MODERATE: Under 25 reviews | NEEDS: Online booking","Low review volume, No digital booking"
"Skin Envy Austin","Austin","Med Spa",4.1,38,"NO",20,"NEEDS: Online booking","No digital booking"
"Westlake Smile Design","Austin","Dental",4.1,28,"NO",20,"NEEDS: Online booking","No digital booking"
"ZONA MED SPA","Scottsdale","Med Spa",4.9,85,"NO",20,"NEEDS: Online booking","No digital booking"
"Scottsdale Med Spa","Scottsdale","Med Spa",4.9,72,"NO",20,"NEEDS: Online booking","No digital booking"
"Elite Medspa Scottsdale","Scottsdale","Med Spa",4.8,55,"NO",20,"NEEDS: Online booking","No digital booking"
"Southeast Skin Clinic","Nashville","Med Spa",4,25,"NO",20,"NEEDS: Online booking","No digital booking"
"Cherry Medical","Denver","Med Spa",4.9,95,"NO",20,"NEEDS: Online booking","No digital booking"
"VIVE Med Spa","Denver","Med Spa",4.9,85,"NO",20,"NEEDS: Online booking","No digital booking"
"NakedMD Med Spa Denver","Denver","Med Spa",4.9,105,"NO",20,"NEEDS: Online booking","No digital booking"
"Dilworth Facial Plastic Surgery","Charlotte","Med Spa",4.3,55,"NO",20,"NEEDS: Online booking","No digital booking"
"Revitalize Medical Spa","Charlotte","Med Spa",4,28,"NO",20,"NEEDS: Online booking","No digital booking"
"Formula Wellness","Austin","Med Spa",4.2,89,"YES",0,"",""
"Muse Medspa","Austin","Med Spa",4.5,65,"YES",0,"",""
"Viva Day Spa","Austin","Med Spa",4.7,120,"YES",0,"",""
"Aesthetica MedSpa","Austin","Med Spa",4.3,55,"YES",0,"",""
"Symmetria MedSpa","Austin","Med Spa",4,35,"YES",0,"",""
"Austin Dental Spa","Austin","Dental",4.6,150,"YES",0,"",""
"Enamel Dentistry","Austin","Dental",4.8,200,"YES",0,"",""
"SW Austin Dental","Austin","Dental",4.2,45,"YES",0,"",""
"Walden Dental","Austin","Dental",4.4,65,"YES",0,"",""
"Look Lab Med Spa","Scottsdale","Med Spa",5,92,"YES",0,"",""
"NakedMD Med Spa Scottsdale","Scottsdale","Med Spa",4.9,110,"YES",0,"",""
"Scottsdale Dental Arts","Scottsdale","Dental",4.7,180,"YES",0,"",""
"Old Town Smiles","Scottsdale","Dental",4.3,45,"YES",0,"",""
"North Scottsdale Dental","Scottsdale","Dental",4.5,75,"YES",0,"",""
"Nashville Med Spa","Nashville","Med Spa",4.4,60,"YES",0,"",""
"Green Hills Med Spa","Nashville","Med Spa",4.2,35,"YES",0,"",""
"Nashville Pediatric Dental","Nashville","Dental",4.5,110,"YES",0,"",""
"Music City Orthodontics","Nashville","Dental",4.2,45,"YES",0,"",""
"Belle Meade Smiles","Nashville","Dental",4.3,55,"YES",0,"",""
"Rejuvenate MedSpa","Denver","Med Spa",5,120,"YES",0,"",""
"RESTOR Medical Spa","Denver","Med Spa",4.9,65,"YES",0,"",""
"The Denver Dentists","Denver","Dental",4.4,210,"YES",0,"",""
"Downtown Denver Dental","Denver","Dental",4.9,180,"YES",0,"",""
"Icon Dental","Denver","Dental",4.6,65,"YES",0,"",""
"Denver Place Dentistry","Denver","Dental",4.8,95,"YES",0,"",""
"38th Modern Dental","Denver","Dental",4.8,75,"YES",0,"",""
"H/K/B Cosmetic Surgery","Charlotte","Med Spa",4.5,120,"YES",0,"",""
"Graper Cosmetic Surgery","Charlotte","Med Spa",4.6,85,"YES",0,"",""
"SkinSpirit Charlotte","Charlotte","Med Spa",4.2,35,"YES",0,"",""
"Lineberger Dentistry","Charlotte","Dental",4.7,150,"YES",0,"",""
"Pearl Dentistry Reimagined","Charlotte","Dental",4.5,65,"YES",0,"",""
"Charlotte Dental Arts","Charlotte","Dental",4.2,35,"YES",0,"",""
"Sky Orthodontics","Charlotte","Dental",4.4,55,"YES",0,"",""
