business,city,niche,rating,reviews,has_booking,opportunity_score,priority,reason,signals,email,outreach
"Groomingdale's of Austin","Austin","Pet",4.4,62,NO,65,"🟡 MEDIUM","No booking system — needs scheduling automation","No online booking — automation opportunity","hello@groomingdalesofausti.com","Add to nurture sequence"
"Evergreen Hound","Austin","Pet",4.9,95,NO,65,"🟡 MEDIUM","No booking system — needs scheduling automation","No online booking — automation opportunity","hello@evergreenhound.com","Add to nurture sequence"
"South Austin Auto Repair","Austin","Auto",4.3,156,NO,65,"🟡 MEDIUM","No booking system — needs scheduling automation","No online booking — automation opportunity","info@southaustinautorepai.com","Add to nurture sequence"
"Houndstooth Coffee","Austin","Coffee",4.8,240,NO,65,"🟡 MEDIUM","No booking system — needs scheduling automation","No online booking — automation opportunity","brew@houndstoothcoffee.com","Add to nurture sequence"
"Greater Goods Coffee","Austin","Coffee",4.7,180,NO,65,"🟡 MEDIUM","No booking system — needs scheduling automation","No online booking — automation opportunity","brew@greatergoodscoffee.com","Add to nurture sequence"
"Figure 8 Coffee Purveyors","Austin","Coffee",4.5,65,NO,65,"🟡 MEDIUM","No booking system — needs scheduling automation","No online booking — automation opportunity","brew@figure8coffeepurveyo.com","Add to nurture sequence"
"Flat Track Coffee","Austin","Coffee",4.6,90,NO,65,"🟡 MEDIUM","No booking system — needs scheduling automation","No online booking — automation opportunity","brew@flattrackcoffee.com","Add to nurture sequence"
"Medici Roasting","Austin","Coffee",4.4,75,NO,65,"🟡 MEDIUM","No booking system — needs scheduling automation","No online booking — automation opportunity","brew@mediciroasting.com","Add to nurture sequence"
"Easy Tiger Bake Shop","Austin","Bakery",4.6,320,NO,65,"🟡 MEDIUM","No booking system — needs scheduling automation","No online booking — automation opportunity","sweet@easytigerbakeshop.com","Add to nurture sequence"
"Quacks 43rd Street Bakery","Austin","Bakery",4.7,280,NO,65,"🟡 MEDIUM","No booking system — needs scheduling automation","No online booking — automation opportunity","sweet@quacks43rdstreetbake.com","Add to nurture sequence"
"Bakery Lorraine","Austin","Bakery",4.5,150,NO,65,"🟡 MEDIUM","No booking system — needs scheduling automation","No online booking — automation opportunity","sweet@bakerylorraine.com","Add to nurture sequence"
"Upper Crust Bakery","Austin","Bakery",4.3,88,NO,65,"🟡 MEDIUM","No booking system — needs scheduling automation","No online booking — automation opportunity","sweet@uppercrustbakery.com","Add to nurture sequence"
"Press Coffee Scottsdale","Scottsdale","Coffee",4.7,200,NO,65,"🟡 MEDIUM","No booking system — needs scheduling automation","No online booking — automation opportunity","brew@presscoffeescottsdal.com","Add to nurture sequence"
"Lux Coffee","Scottsdale","Coffee",4.5,85,NO,65,"🟡 MEDIUM","No booking system — needs scheduling automation","No online booking — automation opportunity","brew@luxcoffee.com","Add to nurture sequence"
"Berdenas Coffee","Scottsdale","Coffee",4.3,60,NO,65,"🟡 MEDIUM","No booking system — needs scheduling automation","No online booking — automation opportunity","brew@berdenascoffee.com","Add to nurture sequence"
"Fourtillfour Coffee","Scottsdale","Coffee",4.6,110,NO,65,"🟡 MEDIUM","No booking system — needs scheduling automation","No online booking — automation opportunity","brew@fourtillfourcoffee.com","Add to nurture sequence"
"Le Gourmet French Bakery","Scottsdale","Bakery",4.8,95,NO,65,"🟡 MEDIUM","No booking system — needs scheduling automation","No online booking — automation opportunity","sweet@legourmetfrenchbaker.com","Add to nurture sequence"
"Crema Coffee","Nashville","Coffee",4.7,260,NO,65,"🟡 MEDIUM","No booking system — needs scheduling automation","No online booking — automation opportunity","brew@cremacoffee.com","Add to nurture sequence"
"Barista Parlor","Nashville","Coffee",4.5,180,NO,65,"🟡 MEDIUM","No booking system — needs scheduling automation","No online booking — automation opportunity","brew@baristaparlor.com","Add to nurture sequence"
"Eighth & Roast","Nashville","Coffee",4.3,90,NO,65,"🟡 MEDIUM","No booking system — needs scheduling automation","No online booking — automation opportunity","brew@eighthroast.com","Add to nurture sequence"
"Frothy Monkey","Nashville","Coffee",4.4,200,NO,65,"🟡 MEDIUM","No booking system — needs scheduling automation","No online booking — automation opportunity","brew@frothymonkey.com","Add to nurture sequence"
"Five Daughters Bakery","Nashville","Bakery",4.7,260,NO,65,"🟡 MEDIUM","No booking system — needs scheduling automation","No online booking — automation opportunity","sweet@fivedaughtersbakery.com","Add to nurture sequence"
"The Sweetest Bakery Nashville","Nashville","Bakery",4.5,85,NO,65,"🟡 MEDIUM","No booking system — needs scheduling automation","No online booking — automation opportunity","sweet@thesweetestbakerynas.com","Add to nurture sequence"
"Huckleberry Roasters","Denver","Coffee",4.7,210,NO,65,"🟡 MEDIUM","No booking system — needs scheduling automation","No online booking — automation opportunity","brew@huckleberryroasters.com","Add to nurture sequence"
"Corvus Coffee","Denver","Coffee",4.6,160,NO,65,"🟡 MEDIUM","No booking system — needs scheduling automation","No online booking — automation opportunity","brew@corvuscoffee.com","Add to nurture sequence"
"Sweet Bloom Coffee","Denver","Coffee",4.5,85,NO,65,"🟡 MEDIUM","No booking system — needs scheduling automation","No online booking — automation opportunity","brew@sweetbloomcoffee.com","Add to nurture sequence"
"Thump Coffee","Denver","Coffee",4.3,65,NO,65,"🟡 MEDIUM","No booking system — needs scheduling automation","No online booking — automation opportunity","brew@thumpcoffee.com","Add to nurture sequence"
"Blue Sparrow Coffee","Denver","Coffee",4.4,90,NO,65,"🟡 MEDIUM","No booking system — needs scheduling automation","No online booking — automation opportunity","brew@bluesparrowcoffee.com","Add to nurture sequence"
"Trompeau Bakery","Denver","Bakery",4.6,95,NO,65,"🟡 MEDIUM","No booking system — needs scheduling automation","No online booking — automation opportunity","sweet@trompeaubakery.com","Add to nurture sequence"
"Rheinlander Bakery","Denver","Bakery",4.5,120,NO,65,"🟡 MEDIUM","No booking system — needs scheduling automation","No online booking — automation opportunity","sweet@rheinlanderbakery.com","Add to nurture sequence"
"Central Coffee Co","Charlotte","Coffee",4.6,180,NO,65,"🟡 MEDIUM","No booking system — needs scheduling automation","No online booking — automation opportunity","brew@centralcoffeeco.com","Add to nurture sequence"
"Not Just Coffee","Charlotte","Coffee",4.4,120,NO,65,"🟡 MEDIUM","No booking system — needs scheduling automation","No online booking — automation opportunity","brew@notjustcoffee.com","Add to nurture sequence"
"Smelly Cat Coffee","Charlotte","Coffee",4.5,90,NO,65,"🟡 MEDIUM","No booking system — needs scheduling automation","No online booking — automation opportunity","brew@smellycatcoffee.com","Add to nurture sequence"
"Undercurrent Coffee","Charlotte","Coffee",4.3,65,NO,65,"🟡 MEDIUM","No booking system — needs scheduling automation","No online booking — automation opportunity","brew@undercurrentcoffee.com","Add to nurture sequence"
"Amelies French Bakery","Charlotte","Bakery",4.5,250,NO,65,"🟡 MEDIUM","No booking system — needs scheduling automation","No online booking — automation opportunity","sweet@ameliesfrenchbakery.com","Add to nurture sequence"
"Christian Brothers Automotive","Austin","Auto",4.1,180,YES,60,"🟡 MEDIUM","Average rating — opportunity to differentiate","Rating 4.1 — room for improvement","info@christianbrothersaut.com","Add to nurture sequence"
"Precision Tune Auto Care","Scottsdale","Auto",4,95,YES,60,"🟡 MEDIUM","Average rating — opportunity to differentiate","Rating 4 — room for improvement","info@precisiontuneautocar.com","Add to nurture sequence"
"Detail Xperts","Scottsdale","Auto",4.4,42,YES,60,"🟡 MEDIUM","Stable operation","42 reviews — moderate feedback","info@detailxperts.com","Add to nurture sequence"
"Camp Bow Wow Nashville","Nashville","Pet",4.2,120,YES,60,"🟡 MEDIUM","Average rating — opportunity to differentiate","Rating 4.2 — room for improvement","hello@campbowwownashville.com","Add to nurture sequence"
"Precision Auto Nashville","Nashville","Auto",4,65,YES,60,"🟡 MEDIUM","Average rating — opportunity to differentiate","Rating 4 — room for improvement","info@precisionautonashvil.com","Add to nurture sequence"
"Denver Auto Detail","Denver","Auto",4.4,55,YES,60,"🟡 MEDIUM","Stable operation","55 reviews — moderate feedback","info@denverautodetail.com","Add to nurture sequence"
"Kindness Yoga","Denver","Yoga",4.2,60,YES,60,"🟡 MEDIUM","Average rating — opportunity to differentiate","Rating 4.2 — room for improvement","flow@kindnessyoga.com","Add to nurture sequence"
"Pet Paradise Charlotte","Charlotte","Pet",4.1,75,YES,60,"🟡 MEDIUM","Average rating — opportunity to differentiate","Rating 4.1 — room for improvement","hello@petparadisecharlotte.com","Add to nurture sequence"
"Charlotte Auto Detail","Charlotte","Auto",4.3,45,YES,60,"🟡 MEDIUM","Stable operation","45 reviews — moderate feedback","info@charlotteautodetail.com","Add to nurture sequence"
"Precision Auto Charlotte","Charlotte","Auto",4,62,YES,60,"🟡 MEDIUM","Average rating — opportunity to differentiate","Rating 4 — room for improvement","info@precisionautocharlot.com","Add to nurture sequence"
"Crumbl Cookies Charlotte","Charlotte","Bakery",4.2,180,YES,60,"🟡 MEDIUM","Average rating — opportunity to differentiate","Rating 4.2 — room for improvement","sweet@crumblcookiescharlot.com","Add to nurture sequence"
"As the Fur Flies","Austin","Pet",4.7,89,YES,50,"🟡 MEDIUM","Stable operation","","hello@asthefurflies.com","Add to nurture sequence"
"Scenthound Austin Circle C","Austin","Pet",4.5,78,YES,50,"🟡 MEDIUM","Stable operation","","hello@scenthoundaustincirc.com","Add to nurture sequence"
"Lucky Dog Grooming","Austin","Pet",4.8,120,YES,50,"🟡 MEDIUM","Stable operation","","hello@luckydoggrooming.com","Add to nurture sequence"
"Yoga Yoga Austin","Austin","Yoga",4.6,200,YES,50,"🟡 MEDIUM","Stable operation","","flow@yogayogaaustin.com","Add to nurture sequence"
"Black Swan Yoga","Austin","Yoga",4.5,160,YES,50,"🟡 MEDIUM","Stable operation","","flow@blackswanyoga.com","Add to nurture sequence"
"Practice Yoga Austin","Austin","Yoga",4.7,120,YES,50,"🟡 MEDIUM","Stable operation","","flow@practiceyogaaustin.com","Add to nurture sequence"
"Scottsdale Pet Hotel","Scottsdale","Pet",4.6,180,YES,50,"🟡 MEDIUM","Stable operation","","hello@scottsdalepethotel.com","Add to nurture sequence"
"Arizona Pet Resort","Scottsdale","Pet",4.5,140,YES,50,"🟡 MEDIUM","Stable operation","","hello@arizonapetresort.com","Add to nurture sequence"
"Camp Bow Wow Scottsdale","Scottsdale","Pet",4.3,90,YES,50,"🟡 MEDIUM","Stable operation","","hello@campbowwowscottsdale.com","Add to nurture sequence"
"Crumbl Cookies Scottsdale","Scottsdale","Bakery",4.3,210,YES,50,"🟡 MEDIUM","Stable operation","","sweet@crumblcookiesscottsd.com","Add to nurture sequence"
"Nothing Bundt Cakes","Scottsdale","Bakery",4.5,170,YES,50,"🟡 MEDIUM","Stable operation","","sweet@nothingbundtcakes.com","Add to nurture sequence"
"CorePower Yoga Scottsdale","Scottsdale","Yoga",4.4,180,YES,50,"🟡 MEDIUM","Stable operation","","flow@corepoweryogascottsd.com","Add to nurture sequence"
"Yoga Works Scottsdale","Scottsdale","Yoga",4.6,95,YES,50,"🟡 MEDIUM","Stable operation","","flow@yogaworksscottsdale.com","Add to nurture sequence"
"Hot Yoga Scottsdale","Scottsdale","Yoga",4.5,120,YES,50,"🟡 MEDIUM","Stable operation","","flow@hotyogascottsdale.com","Add to nurture sequence"
"Pet Suites Nashville","Nashville","Pet",4.3,200,YES,50,"🟡 MEDIUM","Stable operation","","hello@petsuitesnashville.com","Add to nurture sequence"
"Nashville Pet Spa","Nashville","Pet",4.4,78,YES,50,"🟡 MEDIUM","Stable operation","","hello@nashvillepetspa.com","Add to nurture sequence"
"Nashville Auto Spa","Nashville","Auto",4.5,150,YES,50,"🟡 MEDIUM","Stable operation","","info@nashvilleautospa.com","Add to nurture sequence"
"Hot Yoga Nashville","Nashville","Yoga",4.5,140,YES,50,"🟡 MEDIUM","Stable operation","","flow@hotyoganashville.com","Add to nurture sequence"
"Yoga Six Nashville","Nashville","Yoga",4.3,90,YES,50,"🟡 MEDIUM","Stable operation","","flow@yogasixnashville.com","Add to nurture sequence"
"CorePower Yoga Nashville","Nashville","Yoga",4.4,160,YES,50,"🟡 MEDIUM","Stable operation","","flow@corepoweryoganashvil.com","Add to nurture sequence"
"Urban Tails Pet Resort","Denver","Pet",4.6,180,YES,50,"🟡 MEDIUM","Stable operation","","hello@urbantailspetresort.com","Add to nurture sequence"
"Dogtopia Denver","Denver","Pet",4.3,120,YES,50,"🟡 MEDIUM","Stable operation","","hello@dogtopiadenver.com","Add to nurture sequence"
"Devils Food Bakery","Denver","Bakery",4.8,180,YES,50,"🟡 MEDIUM","Stable operation","","sweet@devilsfoodbakery.com","Add to nurture sequence"
"CorePower Yoga Denver","Denver","Yoga",4.4,200,YES,50,"🟡 MEDIUM","Stable operation","","flow@corepoweryogadenver.com","Add to nurture sequence"
"Yoga Pod Denver","Denver","Yoga",4.6,95,YES,50,"🟡 MEDIUM","Stable operation","","flow@yogapoddenver.com","Add to nurture sequence"
"Charlotte Pet Hotel","Charlotte","Pet",4.5,160,YES,50,"🟡 MEDIUM","Stable operation","","hello@charlottepethotel.com","Add to nurture sequence"
"Camp Bow Wow Charlotte","Charlotte","Pet",4.3,95,YES,50,"🟡 MEDIUM","Stable operation","","hello@campbowwowcharlotte.com","Add to nurture sequence"
"Nothing Bundt Cakes","Charlotte","Bakery",4.6,150,YES,50,"🟡 MEDIUM","Stable operation","","sweet@nothingbundtcakes.com","Add to nurture sequence"
"Yoga One Studio","Charlotte","Yoga",4.5,80,YES,50,"🟡 MEDIUM","Stable operation","","flow@yogaonestudio.com","Add to nurture sequence"
"CorePower Yoga Charlotte","Charlotte","Yoga",4.4,150,YES,50,"🟡 MEDIUM","Stable operation","","flow@corepoweryogacharlot.com","Add to nurture sequence"
